nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.6437e-05,0,7.28778e-06,6.59112,15.8045,0.275664,-0.159931,-8.2509e-06,-0.000101285,9.44734e-05,0.000141295,1,-8.625,1.21607,-0.200901,96,2
2.63225e-05,0,7.24078e-06,6.5795,14.679,0.275079,-0.159746,-0.000154398,-8.27374e-05,0.000361959,-9.6377e-05,1,-9,1.21607,-0.200789,97,2
2.65882e-05,0,7.342e-06,6.61056,15.4705,0.276134,-0.160138,0.000128061,-7.83484e-05,-5.73794e-05,0.000144302,1,-8.625,1.01786,-0.200865,98,2
2.63903e-05,0,7.26538e-06,6.58514,14.8862,0.275303,-0.159793,-0.000106978,-8.11368e-05,0.000272738,-5.04563e-05,1,-9,1.01786,-0.200809,99,2
2.70618e-05,0,7.54279e-06,6.74828,13.2888,0.278702,-0.161687,0.0015116,4.76209e-06,-0.000714222,0.000667234,1,-7.875,1.21607,-0.200633,100,2
2.66542e-05,0,7.3764e-06,6.64715,15.6032,0.276739,-0.16057,0.000519242,-6.35324e-05,-0.000327176,0.000484341,1,-8.25,1.21607,-0.200875,101,2
2.77366e-05,0,7.7818e-06,6.7927,11.9184,0.280502,-0.162284,0.00172568,7.49166e-06,-0.000587682,0.000146595,1,-7.875,1.01786,-0.200491,102,2
2.69814e-05,0,7.49269e-06,6.68604,14.4372,0.277681,-0.160991,0.00074215,-3.09611e-05,-0.000426008,0.000302838,1,-8.25,1.01786,-0.200754,103,2
2.61924e-05,0,7.1842e-06,6.61326,12.3244,0.274286,-0.159991,2.00587e-06,-1.08912e-05,-2.91069e-06,3.75885e-08,1,-14.25,1.81071,-0.200549,104,2
2.61925e-05,0,7.18412e-06,6.61298,12.3396,0.274281,-0.160001,2.10934e-06,-1.0466e-05,-2.08616e-06,3.13238e-07,1,-15,1.81071,-0.20055,105,2
2.61921e-05,0,7.18436e-06,6.61355,12.298,0.274295,-0.159986,8.53349e-07,-1.13125e-05,-1.08944e-06,-1.44089e-06,1,-13.5,1.81071,-0.200546,106,2
2.61915e-05,0,7.1845e-06,6.61326,12.3122,0.274306,-0.159974,-2.39532e-06,-1.16509e-05,4.01007e-06,-2.75023e-06,1,-12.75,1.81071,-0.200547,107,2
2.61908e-05,0,7.18469e-06,6.61338,12.3529,0.274321,-0.15997,-1.97572e-06,-1.13781e-05,-2.79148e-06,5.48792e-06,1,-12,1.81071,-0.200551,108,2
2.6191e-05,0,7.18541e-06,6.61632,12.2389,0.274346,-0.160003,1.87001e-05,-7.73812e-06,-3.64449e-05,3.19565e-05,1,-11.25,1.81071,-0.20054,109,2
2.61958e-05,0,7.18813e-06,6.62389,11.78,0.2744,-0.160072,6.4e-05,-3.24963e-07,-0.000530673,0.000339741,1,-10.5,1.81071,-0.200493,110,2
2.62226e-05,0,7.19984e-06,6.62074,11.3449,0.274566,-0.160007,-1.21667e-05,-3.56763e-05,0.00065289,-0.000731345,1,-9.76353,1.42144,-0.200451,111,2
2.62238e-05,0,7.19989e-06,6.61858,11.3478,0.274555,-0.160034,1.46122e-05,-9.27077e-06,0.000786284,-9.52206e-05,1,-9.75,1.6125,-0.20045,112,2
2.6223e-05,0,7.19955e-06,6.62332,11.1643,0.274551,-0.160032,1.41384e-05,-3.35094e-05,0.000646081,-5.51902e-05,1,-9.76298,1.6125,-0.200433,113,2
2.62159e-05,0,7.19661e-06,6.62802,11.0723,0.274513,-0.160075,6.7059e-05,-2.96387e-05,0.000285605,0.0012987,0.999999,-9.76269,1.80401,-0.200423,114,2
2.62164e-05,0,7.19683e-06,6.62355,11.2511,0.274516,-0.160078,6.94136e-05,-5.82621e-06,0.000480235,-0.000310577,1,-9.75,1.81071,-0.20044,115,2
2.6196e-05,0,7.18821e-06,6.62882,11.559,0.274401,-0.160069,6.19046e-05,-2.74345e-05,-0.000622499,0.000534903,1,-10.4858,1.80323,-0.200472,116,2
2.61996e-05,0,7.18932e-06,6.62847,11.479,0.274406,-0.160072,4.07736e-05,-2.6258e-05,-0.000312888,-0.0010773,0.999999,-10.4861,1.42164,-0.200464,117,2
