Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.21402e-05,-0.00132415,0.999999,-9,2.00893,-0.201589,145,2
5.62403e-05,0.000240165,1,-8.625,1.81071,-0.201851,146,2
0.000250286,0.000595426,1,-9,1.81071,-0.20174,147,2
-0.000151409,0.000266678,1,-7.875,2.00893,-0.201649,148,2
2.80142e-05,-0.000886976,1,-8.25,2.00893,-0.201624,149,2
-0.000652035,0.00048211,1,-7.875,1.81071,-0.20158,150,2
-0.000288248,0.000178921,1,-8.25,1.81071,-0.20182,151,2
5.27932e-05,1.21474e-05,1,-14.25,2.60357,-0.200901,152,2
3.85708e-05,6.01416e-06,1,-15,2.60357,-0.200873,153,2
7.11812e-05,2.18828e-05,1,-13.5,2.60357,-0.200951,154,2
8.7291e-05,1.89446e-05,1,-12.75,2.60357,-0.20101,155,2
0.000105166,-3.09479e-06,1,-12,2.60357,-0.20109,156,2
0.00011313,-1.18968e-05,1,-11.25,2.60357,-0.201177,157,2
-0.000276098,0.000318602,1,-10.5,2.60357,-0.201254,158,2
0.000445746,-0.00053832,1,-9.78623,2.22629,-0.201208,159,2
0.000567147,0.000238016,1,-9.75,2.40536,-0.201225,160,2
0.000720579,0.000546106,1,-9.78553,2.40536,-0.201184,161,2
0.000458925,0.00187868,0.999998,-9.79069,2.58207,-0.201356,162,2
0.000528442,0.000173936,1,-9.75,2.60357,-0.201425,163,2
-0.000346166,0.000606625,1,-10.4637,2.5844,-0.201209,164,2
-0.000306007,-0.00115167,0.999999,-10.4638,2.22627,-0.201206,165,2
7.90689e-05,0.000553729,1,-9.375,2.40536,-0.201217,166,2
5.5631e-06,-0.000927195,1,-9.375,2.20714,-0.201254,167,2
0.00026132,0.000827937,1,-8.625,2.40536,-0.201389,168,2
0.000173741,0.000736597,1,-9,2.40536,-0.201285,169,2
0.000199464,-0.00046329,1,-8.625,2.20714,-0.201268,170,2
3.37429e-05,-0.000793468,1,-9,2.20714,-0.201264,171,2
0.000320633,-0.000411744,1,-7.875,2.40536,-0.201552,172,2
0.000286659,0.000466135,1,-8.25,2.40536,-0.201455,173,2
0.000503334,0.000307974,1,-7.875,2.20714,-0.201706,174,2
0.0004291,-0.000135181,1,-8.25,2.20714,-0.201408,175,2
5.08957e-05,7.24205e-06,1,-14.25,3,-0.200905,176,2
4.09285e-05,2.78155e-06,1,-15,3,-0.200874,177,2
7.29296e-05,1.90198e-05,1,-13.5,3,-0.200961,178,2
7.87841e-05,2.37935e-05,1,-12.75,3,-0.201019,179,2
9.02348e-05,-9.68531e-06,1,-12,3,-0.20108,180,2
0.000109302,-6.93257e-05,1,-11.25,3,-0.201141,181,2
-0.000167884,0.00083044,1,-10.5,3,-0.201239,182,2
0.000879971,-0.000756351,0.999999,-9.79078,2.62513,-0.201359,183,2
0.000833737,-0.000316783,1,-9.75,2.80179,-0.201397,184,2
0.000840094,-0.000387038,1,-9.79008,2.80179,-0.201336,185,2
-0.000402688,0.000280731,1,-10.464,2.98099,-0.201199,186,2
-5.30811e-05,-0.00108799,0.999999,-10.4636,2.62279,-0.201212,187,2
0.000405301,0.000746399,1,-9.78658,2.98066,-0.201219,188,2
0.000672587,-0.000115813,1,-9.75,3,-0.201262,189,2
0.000112606,-0.000411356,1,-9.375,2.80179,-0.201448,190,2
0.000131547,0.00055755,1,-9.375,2.60357,-0.201472,191,2
4.94189e-05,-0.000657511,1,-8.625,2.80179,-0.2015,192,2
0.000121627,-0.000454169,1,-9,2.80179,-0.201478,193,2
0.000155959,0.000317109,1,-8.625,2.60357,-0.201623,194,2
0.000193722,0.000500591,1,-9,2.60357,-0.201513,195,2
0.000101348,0.000362992,1,-7.875,2.80179,-0.201608,196,2
3.7796e-05,-0.00053392,1,-8.25,2.80179,-0.20154,197,2
-0.000229756,-0.000397986,1,-7.875,2.60357,-0.201498,198,2
-4.99686e-05,-4.36039e-06,1,-8.25,2.60357,-0.201645,199,2
-0.00134119,-0.000909156,0.999999,-7.875,0.621429,-0.199876,200,2
-0.00226818,0.00134088,0.999997,-7.875,0.819643,-0.199932,201,2
-0.00965349,0.0121297,0.99988,-7.35511,0.1125,-0.2,202,2
-0.00502165,-0.00131968,0.999987,-7.5,0,-0.201408,203,2
-0.0130732,0.00392921,0.999907,-7.38893,0,-0.2,204,2
-0.00301945,0.00617238,0.999976,-7.5,0.1125,-0.201126,205,2
0.0149891,-0.105329,0.994324,-2.15625,0.028125,-0.202827,206,2
0.0136753,-0.0987837,0.995015,-2.25,0.028125,-0.201365,207,2
0.0158875,-0.0543548,0.998395,-2.15625,0,-0.204392,208,2
0.0136539,-0.050709,0.99862,-2.25,0,-0.202829,209,2
0.00503286,-0.072582,0.99735,-1.45312,0.0140625,-0.209313,210,2
0.00505335,-0.0718099,0.997405,-1.5,0.0140625,-0.209074,211,2
0.00516009,-0.0366109,0.999316,-1.45312,0,-0.20983,212,2
0.00519373,-0.0362076,0.999331,-1.5,0,-0.209586,213,2
0.0151461,-0.0397881,0.999093,-0.75,0.00703125,-0.215378,214,2
0.0153421,-0.0198965,0.999684,-0.75,0,-0.215518,215,2
0.016634,-0.0393909,0.999085,-0.726562,0.00703125,-0.21575,216,2
0.0168322,-0.0196998,0.999664,-0.726562,0,-0.215889,217,2
-0.0204093,0.0113536,0.999727,-7.125,0,-0.196443,218,2
-0.0195626,0.0354162,0.999181,-7.125,0.1125,-0.198132,219,2
-0.0481381,0.0883858,0.994922,-6.48248,0.1125,-0.175,220,2
-0.0399421,0.0403197,0.998388,-6.75,0,-0.181569,221,2
-0.0492255,0.054395,0.997305,-6.60679,0,-0.175,222,2
-0.036668,0.0943039,0.994868,-6.75,0.1125,-0.186962,223,2
0.00480016,0.0217554,0.999752,-3.5625,0.05625,-0.184559,224,2
0.0194038,0.0324825,0.999284,-3.75,0.05625,-0.182718,225,2
0.0080916,-0.00068214,0.999967,-3.5625,0,-0.184757,226,2
0.0253031,0.00889708,0.99964,-3.75,0,-0.182438,227,2
0.0240325,-0.072564,0.997074,-2.90625,0.028125,-0.193674,228,2
0.028593,-0.0668796,0.997351,-3,0.028125,-0.191348,229,2
0.027787,-0.0325299,0.999084,-2.90625,0,-0.194938,230,2
0.0297509,-0.00943899,0.999513,-3,0,-0.191567,231,2
-0.0425614,0.0593675,0.997328,-6.375,0,-0.16275,232,2
-0.0371873,0.113458,0.992847,-6.375,0.1125,-0.16951,233,2
0.00690939,0.0398824,0.99918,-5.625,0.1125,-0.157018,234,2
-0.0106086,0.0700164,0.997489,-6,0.1125,-0.157662,235,2
0.0144382,0.00176693,0.999894,-5.625,0,-0.158696,236,2
-0.0141136,0.0434088,0.998958,-6,0,-0.153708,237,2
0.0217271,-0.0392569,0.998993,-5.20255,0.0142344,-0.171837,238,2
0.00331192,-0.0271155,0.999627,-5.25,0.1125,-0.162751,239,2
0.0231144,-0.0120901,0.99966,-5.25,0,-0.170599,240,2
0.00938124,-0.119745,0.99276,-5.15273,0.0833204,-0.168516,241,2
0.000903143,-0.00801226,0.999968,-4.87999,0.00149657,-0.174667,242,2
-0.0152971,-0.0442053,0.998905,-4.875,0,-0.174657,243,2
-0.00839532,-0.0847123,0.99637,-4.92554,0.05625,-0.17163,244,2
-0.0214096,-0.0998638,0.994771,-4.875,0.05625,-0.170612,245,2
-0.00536115,-0.115619,0.993279,-4.875,0.1125,-0.163546,246,2
-0.00830995,-0.13833,0.990351,-4.97171,0.083488,-0.168553,247,2
0.0169151,-0.00770244,0.999827,-4.3125,0.05625,-0.162925,248,2
-0.0072204,-0.0459451,0.998918,-4.5,0.05625,-0.162535,249,2
0.00628069,-0.0232784,0.999709,-4.3125,0,-0.163887,250,2
-0.0165078,-0.0439985,0.998895,-4.5,0,-0.164542,251,2
-0.00094797,-0.00177942,0.999998,-7.125,0.423214,-0.20045,252,2
-0.000118595,-0.00380148,0.999993,-7.5,0.423214,-0.200521,253,2
-0.00467897,0.00603412,0.999971,-7.125,0.225,-0.201097,254,2
0.00059305,-0.00136889,0.999999,-7.5,0.225,-0.201143,255,2
0.00512665,-0.0172743,0.999838,-6.375,0.819643,-0.202573,256,2
0.00425684,-0.00823462,0.999957,-6.75,0.819643,-0.2002,257,2
0.00293199,0.024984,0.999684,-6.375,0.621429,-0.20168,258,2
0.00136513,0.00707674,0.999974,-6.75,0.621429,-0.200293,259,2
0.00140253,-0.0285439,0.999592,-5.625,0.819643,-0.205263,260,2
0.00301239,-0.0242947,0.9997,-6,0.819643,-0.204411,261,2
0.00125445,0.051348,0.99868,-5.625,0.621429,-0.203004,262,2
0.00187365,0.0423977,0.999099,-6,0.621429,-0.202592,263,2
0.0202858,0.0730028,0.997125,-5.09663,0.702495,-0.214775,264,2
0.0174009,-0.0522067,0.998485,-5.25,0.819643,-0.205587,265,2
0.00308005,0.0762355,0.997085,-5.25,0.621429,-0.203429,266,2
0.0224424,-0.0371619,0.999057,-5.09894,0.739799,-0.21493,267,2
-0.0131841,0.128942,0.991564,-5.03261,0.704737,-0.214493,268,2
-0.00682731,0.135242,0.990789,-4.875,0.621429,-0.200289,269,2
-0.00454594,0.0567865,0.998376,-5.00959,0.720536,-0.216027,270,2
-0.00662643,0.0357434,0.999339,-4.875,0.720536,-0.21477,271,2
0.0052332,-0.0997263,0.995001,-4.875,0.819643,-0.210548,272,2
-0.000480005,-0.0439602,0.999033,-5.01771,0.744211,-0.215486,273,2
-0.00284172,0.0431236,0.999066,-4.3125,0.720536,-0.213694,274,2
-0.00283597,0.0486186,0.998813,-4.5,0.720536,-0.214372,275,2
-0.000346545,0.103813,0.994597,-4.3125,0.621429,-0.200639,276,2
0.00175027,0.111923,0.993715,-4.5,0.621429,-0.200598,277,2
-0.00334495,0.0306842,0.999524,-3.5625,0.720536,-0.211026,278,2
-0.00315207,0.0335654,0.999432,-3.75,0.720536,-0.21173,279,2
