nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.52096e-05,1,0,9.90348e-06,-2.49373,24608.8,0.281272,-0.219833,0,0.000266842,-9.75,0,-2.6,178,2
3.52102e-05,1,0,9.90396e-06,-2.48242,24608.8,0.281281,-0.219885,0,0.000324833,-9.375,0,-2.6,179,2
3.52125e-05,1,0,9.90542e-06,-2.45466,24608.9,0.281304,-0.219991,0,0.00036765,-8.625,0,-2.6,180,2
3.52112e-05,1,0,9.90463e-06,-2.46903,24608.9,0.281292,-0.219945,0,0.000355769,-9,0,-2.6,181,2
3.52143e-05,1,0,9.90663e-06,-2.42873,24608.9,0.281324,-0.220041,0,0.000392595,-7.875,0,-2.6,182,2
3.52136e-05,1,0,9.90613e-06,-2.44099,24608.9,0.281316,-0.22002,0,0.000373656,-8.25,0,-2.6,183,2
3.52057e-05,1,0,9.90131e-06,-2.47057,23604.3,0.281242,-0.220004,-4.14884e-07,-2.56976e-05,-15,0.225,-2.5,184,2
3.52055e-05,1,0,9.90121e-06,-2.46443,23604.3,0.281241,-0.21994,0,-2.33676e-05,-14.25,0,-2.5,185,2
3.52047e-05,1,0,9.90124e-06,-2.45658,23604.3,0.281247,-0.219911,0,-1.92358e-05,-13.5,0,-2.5,186,2
3.52041e-05,1,0,9.9014e-06,-2.45521,23604.3,0.281257,-0.219836,0,-1.28707e-05,-12.75,0,-2.5,187,2
3.52037e-05,1,0,9.90177e-06,-2.45945,23604.3,0.281271,-0.21975,0,1.0205e-05,-12,0,-2.5,188,2
3.52037e-05,1,0,9.90242e-06,-2.47472,23604.3,0.281289,-0.219655,0,6.6185e-05,-11.25,0,-2.5,189,2
3.52044e-05,1,0,9.90339e-06,-2.48968,23604.3,0.281311,-0.219609,0,0.000145548,-10.5,0,-2.5,190,2
3.52059e-05,1,0,9.90485e-06,-2.48966,23604.3,0.281341,-0.219657,0,0.000208366,-9.75,0,-2.5,191,2
3.52072e-05,1,0,9.90586e-06,-2.483,23604.3,0.281359,-0.219722,0,0.00020698,-9.375,0,-2.5,192,2
3.52109e-05,1,0,9.90834e-06,-2.46183,23604.3,0.2814,-0.219861,0,0.000104918,-8.625,0,-2.5,193,2
3.5209e-05,1,0,9.90706e-06,-2.47304,23604.3,0.281379,-0.219796,0,0.00016531,-9,0,-2.5,194,2
3.52137e-05,1,0,9.91026e-06,-2.44076,23604.3,0.281432,-0.219972,0,4.27164e-05,-7.875,0,-2.5,195,2
3.52126e-05,1,0,9.90946e-06,-2.45028,23604.3,0.281418,-0.219918,0,5.71317e-05,-8.25,0,-2.5,196,2
3.52039e-05,1,0,9.90103e-06,-2.52374,22599.7,0.281248,-0.219998,-5.08647e-07,-0.000163978,-15,0.225,-2.4,197,2
3.52035e-05,1,0,9.90092e-06,-2.51708,22599.7,0.281248,-0.219934,0,-0.000162759,-14.25,0,-2.4,198,2
