nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1.38028e-05,1,0,3.46562e-06,-0.0506784,32731.3,0.251081,-0.0799973,0,-5.11225e-07,-12.75,0,-3.45833,70,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506031,32731.3,0.251082,-0.0799965,0,-4.43843e-07,-12,0,-3.45833,71,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505556,32731.3,0.251082,-0.0799958,0,-3.55296e-07,-11.25,0,-3.45833,72,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505344,32731.3,0.251082,-0.0799951,0,-2.28081e-07,-10.5,0,-3.45833,73,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505434,32731.3,0.251081,-0.0799945,0,-5.44228e-08,-9.75,0,-3.45833,74,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505624,32731.3,0.251081,-0.0799942,0,5.95798e-08,-9.375,0,-3.45833,75,0,2
1.38028e-05,1,0,3.46563e-06,-0.0506401,32731.3,0.251081,-0.0799936,0,3.7305e-07,-8.625,0,-3.45833,76,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505937,32731.3,0.251081,-0.0799939,0,2.02005e-07,-9,0,-3.45833,77,0,2
1.38028e-05,1,0,3.46563e-06,-0.0507897,32731.3,0.251081,-0.0799927,0,7.54474e-07,-7.875,0,-3.45833,78,0,2
1.38028e-05,1,0,3.46563e-06,-0.0507043,32731.3,0.251081,-0.0799932,0,5.63374e-07,-8.25,0,-3.45833,79,0,2
1.38026e-05,1,0,3.4656e-06,-0.0509368,31643.1,0.251082,-0.0800002,8.46224e-10,-1.01629e-06,-15,0.225,-3.35,80,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508832,31643.1,0.251081,-0.079999,0,-9.71501e-07,-14.25,0,-3.35,81,0,2
1.38028e-05,1,0,3.46562e-06,-0.05078,31643.1,0.251081,-0.0799982,0,-8.76319e-07,-13.5,0,-3.35,82,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506805,31643.1,0.251081,-0.0799974,0,-7.58574e-07,-12.75,0,-3.35,83,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505803,31643.1,0.251082,-0.0799967,0,-6.03568e-07,-12,0,-3.35,84,0,2
